,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,totalSeasons
14,No Man's Woman,1955,Approved,27-Oct-55,70 min,"Crime, Film-Noir, Mystery",Franklin Adreon,"Don Martin, John K. Butler","Marie Windsor, John Archer, Patric Knowles",The police investigates five possible suspects in the murder of a greedy and scheming woman who wronged them.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BYjM4ZDlmMmUtOGNhZS00YTUyLTk3MmUtMDQ2Zjk2NmJkMzVmXkEyXkFqcGdeQXVyMzk3ODkwODA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",64.01811594,6.3,35785.50713,tt0048426,movie,7-Nov-19," $40,071,397.78 ",N/A,N/A,True,
15,Hell's Crossroads,1957,Approved,8-Mar-57,73 min,Western,Franklin Adreon,"John K. Butler, Barry Shipman","Stephen McNally, Peggie Castle, Robert Vaughn",An imprisoned gunfighter is offered parole on one condition--that he track down and bring in Jesse James.,English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BMjE1OTA3ODk1N15BMl5BanBnXkFtZTYwMDE0Njg5._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",64.01811594,5.8,35785.50713,tt0050499,movie,N/A," $40,071,397.78 ",N/A,N/A,True,
16,Gone Baby Gone,2007,R,19-Oct-07,114 min,"Crime, Drama, Mystery",Ben Affleck,"Ben Affleck, Aaron Stockard, Dennis Lehane","Morgan Freeman, Ed Harris, Casey Affleck","Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",English,United States,Nominated for 1 Oscar. 33 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BYmM2NDNiNGItMTRhMi00ZDA2LTgzOWMtZTE2ZjFhMDQ2M2U5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"35,786",tt0452623,movie,12-Feb-08,"$40,071,398 ",N/A,N/A,True,
17,Ghost Town: The Movie,2007,R,3-Jun-07,115 min,Western,"Jeff Kennedy, Dean Teaster","DJ Perry, Dean Teaster","Herbert 'Cowboy' Coward, Bill McKinney, DJ Perry","Dean Teaster's GHOST TOWN ""The Movie"", is a unique ""Eastern"" Western. It is N.C. native Dean Teaster's tribute to his father Robert Doyle Teaster and ""Ghost Town In The Sky"" theme park. The theme park was a large piece of the childho",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BMTU1NzA0NTg0N15BMl5BanBnXkFtZTcwNDA2NDMwMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.1/10'}]",64.01811594,4.1,35785.50713,tt0849441,movie,28-Oct-08," $40,071,397.78 ",LionsGate Entertainment,N/A,True,
18,Live by Night,2016,R,13-Jan-17,129 min,"Action, Crime, Drama",Ben Affleck,"Ben Affleck, Dennis Lehane","Ben Affleck, Elle Fanning, Brendan Gleeson","A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","English, Spanish",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMjc3MDIyMjgzNl5BMl5BanBnXkFtZTgwMzUxOTg3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '34%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.4,"35,786",tt2361317,movie,21-Mar-17,"$40,071,398 ",N/A,N/A,True,
19,Rue du Bac,1991,R,20-Mar-91,95 min,"Comedy, Drama",Gabriel Aghion,"Gabriel Aghion, Yves Dangerfield","Geneviève Bujold, Frédéric Constant, Yves Dangerfield","Simon lives in an affluent intellectual environment, headed by his mother Alice. Raphael, his cousin, belongs to the poor branch of the family, but Simon adores him. So he decides to help him become a writer.",French,France,Nothing,https://m.media-amazon.com/images/M/MV5BY2MyMGYzZGEtODM5Ni00N2UxLTk1YWUtYTAxZGQ0YmVjOGIxXkEyXkFqcGdeQXVyMTMzODQ4NzQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",64.01811594,6.6,35785.50713,tt0100524,movie,N/A," $40,071,397.78 ",N/A,N/A,True,
20,La Nana,2009,Not Rated,11-Mar-11,95 min,"Comedy, Drama",Sebastián Silva,"Sebastián Silva, Pedro Peirano","Catalina Saavedra, Claudia Celedón, Mariana Loyola",A drama centered on a maid trying to hold on to her position after having served a family for 23 years.,Spanish,"Chile, Mexico",34 wins & 23 nominations,https://m.media-amazon.com/images/M/MV5BNmMzNzliYjctOTBkMS00YWYxLTgwNzYtZWU3OGUyYzRlYjFlXkEyXkFqcGdeQXVyNjYzMDA4MTI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '82/100'}]",82,7.3,"35,786",tt1187044,movie,22-Jun-10,"$40,071,398 ",N/A,N/A,True,
21,News from Home,1976,R,8-Jun-77,85 min,Documentary,Chantal Akerman,Chantal Akerman,Chantal Akerman,"Impersonal but beautiful images of Akerman's life in New York are combined with letters from her loving but manipulative mother, read by Akerman herself.",French,"France, Belgium, West Germany",Nothing,https://m.media-amazon.com/images/M/MV5BZDE0YmE4OTEtMTVkNC00ZDg3LWEzYjAtN2NmY2ZhOGNiOWE3XkEyXkFqcGdeQXVyNjY5MDUyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",64.01811594,7.5,"35,786",tt0076452,movie,19-Jan-10," $40,071,397.78 ",N/A,N/A,True,
22,Demain on déménage,2004,R,3-Mar-04,110 min,Comedy,Chantal Akerman,"Chantal Akerman, Eric De Kuyper","Sylvie Testud, Aurore Clément, Jean-Pierre Marielle",Charlotte is single. She tries to write erotic books to survive without her mind being in the least absorbed by eroticism or desire.,French,"France, Belgium",1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BNGMzMTlmMWQtN2JlNC00ODMyLTk3NTItY2ZjODM2MGZmMmIwXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",64.01811594,6,35785.50713,tt0328990,movie,19-Jul-05," $40,071,397.78 ","Gémini Films, Canal+, Paradise Films",N/A,True,
23,Fire Down Below,1997,R,5-Sep-97,105 min,"Action, Drama, Thriller",Félix Enríquez Alcalá,"Jeb Stuart, Philip Morton","Steven Seagal, Kris Kristofferson, Marg Helgenberger",A federal agent uncovers lucrative toxic waste dumps in Appalachia and must deal with the locals who want to keep their 'gold mine' secret.,English,United States,1 win & 5 nominations,https://m.media-amazon.com/images/M/MV5BMDYwYWVhOTEtOTQ2ZC00ZTU4LWJjZmQtY2QzNThjZGIyNjQ3XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",40,5.1,"35,786",tt0119123,movie,15-Aug-00,"$40,071,398 ",N/A,N/A,True,
24,Out of Rosenheim,1987,PG,22-Apr-88,95 min,"Comedy, Drama",Percy Adlon,"Eleonore Adlon, Percy Adlon, Christopher Doherty","Marianne Sägebrecht, CCH Pounder, Jack Palance",A lonely German woman ends up in the most desolate motel on Earth and decides to make it brighter.,"English, German",West Germany,Nominated for 1 Oscar. 14 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BNmUwZGZhZTktNGNmOS00NDA0LWEzYWUtZjE2ODA5OTM2OTc2XkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,7.4,"35,786",tt0095801,movie,19-Feb-13,"$40,071,398 ",N/A,N/A,True,
25,World for Ransom,1954,Approved,31-Jan-54,82 min,"Crime, Drama, Film-Noir",Robert Aldrich,"Hugo Butler, Lindsay Hardy","Dan Duryea, Gene Lockhart, Patric Knowles","In Singapore, a private detective and the British authorities are on the trail of a crime syndicate that kidnaps a nuclear physicist with the aim of selling him to the highest bidder.",English,United States,Nothing,https://m.media-amazon.com/images/M/MV5BNTdjZTBjODctMjQ5ZC00ZDcyLWFhODItZDIwYzRhNTY5ZWQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",64.01811594,5.8,35785.50713,tt0047681,movie,1-Oct-15," $40,071,397.78 ",N/A,N/A,True,
26,Fort Apache,1948,Passed,21-May-48,128 min,"Action, Adventure, Western",John Ford,"Frank S. Nugent, James Warner Bellah","John Wayne, Henry Fonda, Shirley Temple","At Fort Apache, an honorable and veteran war captain finds conflict when his regime is placed under the command of a young, glory hungry lieutenant colonel with no respect for the local Indian tribe.","English, Spanish",United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BOWNlYTRmNjAtMDMwNC00ZDM4LWJmMDktMTMzZmYzMjQ4ZGFlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",64.01811594,7.5,"35,786",tt0040369,movie,6-Jun-06," $40,071,397.78 ",N/A,N/A,True,
27,Vera Cruz,1954,Approved,25-Dec-54,94 min,"Adventure, Western",Robert Aldrich,"Roland Kibbee, James R. Webb, Borden Chase","Gary Cooper, Burt Lancaster, Denise Darcel","During the Mexican Rebellion of 1866, an unsavory group of American adventurers are hired by the forces of Emporer Maximilian to escort a countess to Vera Cruz.","English, Spanish, French","United States, Mexico",Nothing,https://m.media-amazon.com/images/M/MV5BYTBlZGI3YmMtZGI1NC00OTA3LTk3OTYtYWE0YzhkYzkwZGNmXkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",64.01811594,7.1,"35,786",tt0047647,movie,22-May-07," $40,071,397.78 ",N/A,N/A,True,
28,Autumn Leaves,1956,Approved,8-Oct-56,107 min,Drama,Robert Aldrich,"Jean Rouverol, Hugo Butler, Lewis Meltzer","Joan Crawford, Cliff Robertson, Vera Miles",Millicent Wetherby is a middle-aged woman whose life is devoid of love and affection. Millicent's solitary existence changes when she encounters Burt Hansen a charismatic younger man. As Burt successfully woos her and wins her hand i,"English, Spanish",United States,1 win,https://m.media-amazon.com/images/M/MV5BOTdjY2I0NzAtOGQ1Yi00NTQxLThkMWMtZDFmZjg4MmMxNGU4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",64.01811594,6.8,"35,786",tt0048967,movie,N/A," $40,071,397.78 ",N/A,N/A,True,
29,Kiss Me Deadly,1955,Not Rated,28-Apr-55,106 min,"Crime, Film-Noir, Mystery",Robert Aldrich,"Mickey Spillane, A.I. Bezzerides","Ralph Meeker, Albert Dekker, Paul Stewart","A doomed female hitchhiker pulls Mike Hammer into a deadly whirlpool of intrigue, revolving around a mysterious ""great whatsit"".","English, Italian, Spanish",United States,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BYzA3YTE4MjktN2VmMS00YTdkLTkyYzEtZGUwN2NiZThlZmM5XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",64.01811594,7.6,"35,786",tt0048261,movie,19-Jun-01,"$40,071,398 ",N/A,N/A,True,
30,Star Wars: Episode II - Attack of the Clones,2002,PG,16-May-02,142 min,"Action, Adventure, Fantasy",George Lucas,"George Lucas, Jonathan Hales","Hayden Christensen, Natalie Portman, Ewan McGregor","Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.",English,United States,Nominated for 1 Oscar. 19 wins & 65 nominations total,https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '54/100'}]",54,6.5,"35,786",tt0121765,movie,22-Mar-05,"$40,071,398 ",N/A,N/A,True,
31,Ten Seconds to Hell,1959,Approved,30-May-59,93 min,"Action, Drama, Romance",Robert Aldrich,"Robert Aldrich, Teddi Sherman, Lawrence P. Bachmann","Jack Palance, Jeff Chandler, Martine Carol","After 1945, six German ex-soldiers are hired to defuse unexploded Allied bombs in the ruins of Berlin.",English,"United Kingdom, United States",Nothing,https://m.media-amazon.com/images/M/MV5BNjYxNzQ0OTc0M15BMl5BanBnXkFtZTcwODcyMTM4NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",64.01811594,6.5,35785.50713,tt0053341,movie,3-Mar-15," $40,071,397.78 ",N/A,N/A,True,
32,What Ever Happened to Baby Jane?,1962,Passed,31-Oct-62,134 min,"Drama, Horror, Thriller",Robert Aldrich,"Henry Farrell, Lukas Heller","Bette Davis, Joan Crawford, Victor Buono",A former child star torments her paraplegic sister in their decaying Hollywood mansion.,English,United States,Won 1 Oscar. 4 wins & 11 nominations total,https://m.media-amazon.com/images/M/MV5BZmI0M2VmNTgtMWVhYS00Zjg1LTk1YTYtNmJmMjRkZmMwYTc2XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.1,"35,786",tt0056687,movie,30-May-06," $40,071,397.78 ",N/A,N/A,True,
33,"Hush...Hush, Sweet Charlotte",1964,Not Rated,20-Jan-65,133 min,"Crime, Drama, Mystery",Robert Aldrich,"Henry Farrell, Lukas Heller","Bette Davis, Olivia de Havilland, Joseph Cotten","An aging, reclusive Southern belle plagued by a horrifying family secret descends into madness after the arrival of a lost relative.",English,United States,Nominated for 7 Oscars. 3 wins & 9 nominations total,https://m.media-amazon.com/images/M/MV5BMzU4YjNlNGUtN2ZkNy00OTkwLTkyMWUtZmZiNDMzNDA4N2ZkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}]",64.01811594,7.6,"35,786",tt0058213,movie,9-Aug-05," $40,071,397.78 ",N/A,N/A,True,
34,The Dirty Dozen: The Fatal Mission,1988,Not Rated,14-Feb-88,100 min,"Action, Adventure, War",Lee H. Katzin,"Nunnally Johnson (characters in screenplay), Lukas Heller (characters in screenplay), Mark Rodgers","Telly Savalas, Ernest Borgnine, Hunt Block, Matthew Burton",A team of renegade soldiers in World War II tries to stop the creation of the Fourth Reich in the Middle East.,"German, Serbo-Croatian, English","USA, Yugoslavia, Italy",Nothing,https://m.media-amazon.com/images/M/MV5BMTUyMDliNDktNzlmZi00N2JkLTkyOTEtNTgwNDEyODM3OTg2XkEyXkFqcGdeQXVyMzU4Nzk4MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",64.01811594,5.2,"35,786",tt0095022,movie,13-May-08," $40,071,397.78 ",N/A,N/A,True,
35,Ulzana's Raid,1972,R,27-Oct-72,103 min,"Adventure, Western",Robert Aldrich,Alan Sharp,"Burt Lancaster, Bruce Davison, Jorge Luke","After fierce war chief Ulzana and a small war party jump the reservation bent on murder and terror, an inexperienced young lieutenant is assigned to track him down.","English, Apache languages",United States,Nothing,https://m.media-amazon.com/images/M/MV5BYmRmNmVjNTEtMGQwNi00YzZjLWIyOWMtMzM0ZGVkNzNkZjM3XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",64.01811594,7.1,"35,786",tt0069436,movie,25-Apr-11," $40,071,397.78 ",N/A,N/A,True,
